ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10264225,HY451750,10-05-2015 12:00,059XX W AUGUSTA BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,1511,15,29,25,14,1136697,1906058,2015,10-12-2015 15:56,41.89838252,-87.77337131,"(41.89838252, -87.773371305)"
10267975,HY455290,10-05-2015 12:00,074XX S LAFAYETTE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,731,7,6,69,6,1177127,1855680,2015,10-12-2015 15:56,41.75932109,-87.6263979,"(41.759321089, -87.626397903)"
10262550,HY450324,10-05-2015 12:00,077XX S COLES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,421,4,7,43,14,1196771,1854604,2015,10-12-2015 15:56,41.75590293,-87.55444026,"(41.755902933, -87.554440264)"
10262552,HY450293,10-05-2015 12:00,033XX W BELMONT AVE,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,1412,14,35,21,08B,1153402,1921085,2015,10-12-2015 15:56,41.93930231,-87.71161437,"(41.939302309, -87.711614371)"
10263898,HY451646,10-05-2015 12:00,040XX N LEAMINGTON AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,FALSE,FALSE,1624,16,45,15,11,1141306,1926361,2015,10-12-2015 15:56,41.95401227,-87.75594039,"(41.954012272, -87.755940387)"
10262454,HY450250,10-05-2015 12:00,020XX W 68TH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,726,7,17,67,26,1163972,1859558,2015,10-12-2015 15:56,41.7702494,-87.67450174,"(41.7702494, -87.674501744)"
10263226,HY451165,10-05-2015 11:59,009XX W BELMONT AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,SIDEWALK,FALSE,FALSE,1924,19,44,6,26,1169269,1921430,2015,10-12-2015 15:56,41.93991842,-87.65328888,"(41.93991842, -87.653288878)"
10262482,HY450261,10-05-2015 11:55,050XX S KEDZIE AVE,460,BATTERY,SIMPLE,DEPARTMENT STORE,FALSE,FALSE,821,8,14,63,08B,1155897,1870988,2015,10-12-2015 15:56,41.80178091,-87.70379485,"(41.801780906, -87.703794846)"
10262934,HY450828,10-05-2015 11:50,115XX S MARSHFIELD AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,2234,22,34,75,6,1167438,1828213,2015,10-12-2015 15:56,41.68416044,-87.66269195,"(41.684160442, -87.66269195)"
10262530,HY450238,10-05-2015 11:48,012XX S KEELER AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1011,10,24,29,08B,1148585,1893875,2015,10-12-2015 15:56,41.86472978,-87.73002162,"(41.864729775, -87.730021617)"
10262441,HY450215,10-05-2015 11:46,051XX W GLADYS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1142062,1897853,2015,10-12-2015 15:56,41.87576922,-87.75386927,"(41.87576922, -87.753869269)"
10262719,HY450281,10-05-2015 11:46,065XX S WOOD ST,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,726,7,15,67,08B,1165465,1861348,2015,10-12-2015 15:56,41.77512988,-87.66897832,"(41.775129883, -87.668978317)"
10262595,HY450321,10-05-2015 11:40,008XX S DAMEN AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1225,12,2,28,08A,1163182,1896278,2015,10-12-2015 15:56,41.87102983,-87.67636841,"(41.87102983, -87.676368411)"
10262437,HY450229,10-05-2015 11:40,033XX W FLOURNOY ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1134,11,24,27,18,1154168,1896834,2015,10-12-2015 15:56,41.8727401,-87.70944734,"(41.872740098, -87.709447342)"
